card_id,note_id,deck_id,deck_name,front,back,tags,acronym,examples,port,protocol,type,queue,due,interval,factor,reps,lapses,created_at
"1728575607281","ij?RAkuDIs_1","sy0-701-objective-1-1","1.1 Security Controls","M1-001: Which security control category does anti-virus software belong to?
A: Managerial
B: Operational
C: Technical
D: Physical",">> CORRECT: C | Technical

Technische Controls sind softwarebasierte oder hardwarebasierte Maßnahmen — AV-Software ist ein klassisches Beispiel.

 

 Merkhilfe: Technical = Technologie.","Security Controls Malicious Activity Indicators","","","","","2","2","20645","37","533","2","0","1777740526670"
"1728575671733","sm+ih%TAB9_1","sy0-701-objective-1-1","1.1 Security Controls","M1-002: OS policies that allow or disallow specific user permissions are an example of which control category?
A: Physical
B: Managerial
C: Operational
D: Technical",">> CORRECT: D | Technical

OS-Richtlinien (z.B. GPO, SELinux) sind technische Kontrollmechanismen. Technical Controls wirken direkt auf Systeme und Software.

 

 Merkhilfe: OS-Policies = Software → Technical. Was auf IT-Systemen läuft oder konfiguriert wird = Technical Control.","Security Controls","","","","","2","2","20608","2","3466","2","0","1777740526670"
"1728575802996","z%44>3&Bg&_1","sy0-701-objective-1-1","1.1 Security Controls","M1-003: Official written security policy documentation is an example of which control category?
A: Technical
B: Physical
C: Operational
D: Managerial",">> CORRECT: D | Managerial

Managerial Controls umfassen administrative Maßnahmen wie Richtlinien, Prozesse und Dokumentation.

 

 Merkhilfe: Management = Papierwelt.","Security Controls","","","","","2","2","20603","3","2895","3","1","1777740526670"
"1728575898815","wlN)Xy)aO|_1","sy0-701-objective-1-1","1.1 Security Controls","M1-004: Security awareness programs such as 'lunch and learns' are an example of which control category?
A: Technical
B: Managerial
C: Physical
D: Operational",">> CORRECT: D | Operational

Operational Controls sind personenbezogen und prozessorientiert — Schulungen, Awareness-Programme und tägliche Sicherheitspraktiken gehören dazu.

 

 Merkhilfe: Schulung = Menschen = Operational. Wo Menschen lernen oder handeln, ist es Operational.","Security Controls","","","","","2","2","20609","1","1857","2","1","1777740526670"
"1728575980498","yUQ/PCxXGY_1","sy0-701-objective-1-1","1.1 Security Controls","M1-005: A guard shack limiting physical access to a facility is an example of a Preventive control in which category?
A: Technical
B: Managerial
C: Operational
D: Physical",">> CORRECT: D | Physical

Physical Controls betreffen die physische Welt — Wachposten, Schlösser und Barrieren. Preventiv = blockiert den Zugang proaktiv.

 

 Merkhilfe: Wachposten = Mensch im physischen Raum → Physical. Kein Computer, keine Policy — ein Mensch an einem physischen Ort.","Security Controls","","","","","2","2","20608","1","2895","3","1","1777740526670"
"1728576003078","jx5Gs)Fure_1","sy0-701-objective-1-1","1.1 Security Controls","M1-006: Fences and locked doors preventing unauthorized entry are Preventive controls in which category?
A: Managerial
B: Operational
C: Technical
D: Physical",">> CORRECT: D | Physical

Physische Barrieren wie Zäune und Schlösser sind Physical Controls. Sie verhindern physischen Zugang — daher Preventive Control Type.

 

 Merkhilfe: Zaun & Schloss = anfassbar → Physical. Alles was man physisch berühren kann (und nicht digital ist) = Physical Control.","Security Controls","","","","","2","2","20609","1","1857","2","1","1777740526670"
"1728576047633","GyD<R4g76k_1","sy0-701-objective-1-1","1.1 Security Controls","M1-007: Limiting room access with a badge reader is an example of which control category?
A: Operational
B: Technical
C: Managerial
D: Physical",">> CORRECT: D | Physical

Badge-Reader kontrollieren physischen Zutritt — Physical Control. Da sie Zugang aktiv einschränken: Preventive Control Type.

 

 Merkhilfe: Badge-Reader = Gerät an der Tür = Physical. Das Gerät selbst ist physisch und sperrt einen physischen Eingang.","Security Controls","","","","","2","2","20602","3","1657","1","0","1777740526670"
"1728576145577","N~c}:fsUZ%_3","sy0-701-objective-1-1","1.1 Security Controls","M1-008: Which of the following is NOT one of the six security control types defined in CompTIA Security+ SY0-701?
A: Preventive
B: Compensating
C: Authoritative
D: Directive",">> CORRECT: C | Authoritative

Die sechs Control Types sind: Preventive, Deterrent, Detective, Corrective, Compensating, Directive. 'Authoritative' ist kein definierter Control Type.

 

 Merkhilfe: Die 6 Types: Preventive, Deterrent, Detective, Corrective, Compensating, Directive. 'Authoritative' kommt in CompTIA SY0-701 nicht vor.","Security Controls","","","","","2","2","20602","3","1657","1","0","1777740526670"
"1728576486606","s}cC6U{=#^_1","sy0-701-objective-1-1","1.1 Security Controls","M1-009: A firewall rule blocking unauthorized traffic is an example of which control type?
A: Detective
B: Corrective
C: Deterrent
D: Preventive",">> CORRECT: D | Preventive

Preventive Controls blockieren Ereignisse, bevor sie eintreten. Eine Firewall-Regel verhindert unerlaubten Zugriff aktiv — klassisches Preventive-Beispiel.

 

 Merkhilfe: Firewall BLOCK = verhindert vorher = Preventive. Wenn es aktiv stoppt/blockiert bevor etwas passiert → Preventive.","Security Controls","","","","","2","2","20602","3","1657","1","0","1777740526670"
"1728576531749","^~72=Ni*^_1","sy0-701-objective-1-1","1.1 Security Controls","M1-010: Checking identification before allowing people through an entry point is an Operational Preventive control. Which control type best describes this?
A: Compensating
B: Detective
C: Preventive
D: Corrective",">> CORRECT: C | Preventive

Die Identitätsprüfung verhindert unbefugten Zugang — Preventive. Der Kontext ist Operational, da Menschen (kein technisches System) die Kontrolle ausüben.

 

 Merkhilfe: ID-Prüfung verhindert unbefugten Einlass → Preventive. Erst checken, dann einlassen = Prävention vor dem Vorfall.","Security Controls","","","","","2","2","20602","3","1657","1","0","1777740526670"
